,Unnamed: 0,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity,optType
0,0,AMD250718C00100000,2025-07-08 14:58:34+00:00,100.0,39.05,38.0,38.4,4.049999,11.571426,62,9129,1.0966842041015623,True,REGULAR,USD,7/18/2025,call
1,1,AMD250718C00105000,2025-07-08 16:47:10+00:00,105.0,33.15,33.1,33.35,3.1000023,10.316148,38,5431,0.9677737597656252,True,REGULAR,USD,7/18/2025,call
2,2,AMD250718C00110000,2025-07-08 15:28:04+00:00,110.0,27.92,28.05,28.3,2.7999992,11.146494,63,21900,0.8095722167968749,True,REGULAR,USD,7/18/2025,call
3,3,AMD250718C00115000,2025-07-08 16:01:35+00:00,115.0,23.03,23.15,23.35,2.630001,12.892163,143,10949,0.7045927978515626,True,REGULAR,USD,7/18/2025,call
4,4,AMD250718C00118000,2025-07-08 15:25:24+00:00,118.0,20.05,20.2,20.4,2.6299992,15.097584,27,109,0.639652041,True,REGULAR,USD,7/18/2025,call
5,5,AMD250718C00120000,2025-07-08 16:46:04+00:00,120.0,18.21,18.25,18.45,2.709999,17.483866,135,14905,0.5996133789062501,True,REGULAR,USD,7/18/2025,call
6,6,AMD250718C00124000,2025-07-08 16:23:10+00:00,124.0,14.65,14.4,14.55,2.8999996,24.68085,77,240,0.5180712255859375,True,REGULAR,USD,7/18/2025,call
7,7,AMD250718C00125000,2025-07-08 16:44:06+00:00,125.0,13.55,13.45,13.6,2.7399998,25.346897,234,17506,0.500005,True,REGULAR,USD,7/18/2025,call
8,8,AMD250718C00126000,2025-07-08 15:16:06+00:00,126.0,13.3,12.55,12.75,3.1900005,31.552925,18,132,0.5136767382812499,True,REGULAR,USD,7/18/2025,call
9,9,AMD250718C00127000,2025-07-08 16:33:52+00:00,127.0,11.8,11.6,11.8,2.7600002,30.530977,23,178,0.4917043017578125,True,REGULAR,USD,7/18/2025,call
10,10,AMD250718C00128000,2025-07-08 14:28:14+00:00,128.0,10.1,10.7,10.9,1.9000006,23.17074,43,259,0.476567734,True,REGULAR,USD,7/18/2025,call
11,11,AMD250718C00129000,2025-07-08 16:32:00+00:00,129.0,10.23,9.85,10.0,2.6299996,34.60526,98,379,0.459966338,True,REGULAR,USD,7/18/2025,call
12,12,AMD250718C00130000,2025-07-08 16:45:57+00:00,130.0,8.93,8.95,9.1,1.9600005,28.120523,772,28812,0.4411676977539062,True,REGULAR,USD,7/18/2025,call
13,13,AMD250718C00131000,2025-07-08 16:51:03+00:00,131.0,8.25,8.2,8.35,1.9000001,29.921263,165,327,0.4409235595703125,True,REGULAR,USD,7/18/2025,call
14,14,AMD250718C00132000,2025-07-08 16:27:00+00:00,132.0,7.77,7.4,7.5,2.3200002,42.568813,275,879,0.4240780249023437,True,REGULAR,USD,7/18/2025,call
15,15,AMD250718C00133000,2025-07-08 16:30:03+00:00,133.0,7.05,6.65,6.8,2.1400003,43.58453,585,838,0.422857334,True,REGULAR,USD,7/18/2025,call
16,16,AMD250718C00134000,2025-07-08 16:50:34+00:00,134.0,6.04,6.05,6.1,1.69,38.850574,571,1229,0.4174862939453124,True,REGULAR,USD,7/18/2025,call
